_from,to,category,score,normalized_score
acuerdo,ciclo,politic,1,0.017859734329195735
acuerdo,cierre,politic,2,0.045920884776933006
acuerdo,citar,politic,1,0.017859734329195735
acuerdo,civil,politic,1,0.017859734329195735
acuerdo,comprometer,politic,1,0.017859734329195735
acuerdo,confidencial,tech,3,0.020402832237083064
acuerdo,dato,tech,3,0.020402832237083064
acuerdo,despachar,tech,1,0.0
acuerdo,elemento,politic,2,0.045920884776933006
acuerdo,empresa,tech,3,0.020402832237083064
acuerdo,especialista,tech,1,0.0
acuerdo,extinto,politic,1,0.017859734329195735
acuerdo,firmado,politic,3,0.07398203522467027
acuerdo,firmar,politic,3,0.07398203522467027
acuerdo,gizmodo,tech,3,0.020402832237083064
acuerdo,gobierno,politic,5,0.1301043361201448
acuerdo,grande,politic,2,0.045920884776933006
acuerdo,ideal,tech,2,0.010201416118541534
acuerdo,impulso,politic,3,0.07398203522467027
acuerdo,incluirir,tech,1,0.0
acuerdo,internet,tech,2,0.010201416118541534
acuerdo,juego,politic,4,0.10204318567240755
acuerdo,junto,tech,2,0.010201416118541534
acuerdo,lanzamiento,tech,2,0.010201416118541534
acuerdo,magno,politic,2,0.045920884776933006
acuerdo,mario,tech,3,0.020402832237083064
acuerdo,matters,tech,1,0.0
acuerdo,medio,tech,3,0.020402832237083064
acuerdo,micucci,tech,2,0.010201416118541534
acuerdo,moreno,tech,3,0.020402832237083064
acuerdo,organizacion,tech,3,0.020402832237083064
acuerdo,par,tech,1,0.0
acuerdo,participacion,politic,3,0.07398203522467027
acuerdo,paz,politic,3,0.07398203522467027
acuerdo,posicion,politic,3,0.07398203522467027
acuerdo,presidente,politic,1,0.017859734329195735
acuerdo,productividad,tech,1,0.0
acuerdo,proveedor,tech,2,0.010201416118541534
acuerdo,quinto,politic,1,0.017859734329195735
acuerdo,radical,politic,2,0.045920884776933006
acuerdo,sexto,politic,2,0.045920884776933006
acuerdo,sociedad,politic,2,0.045920884776933006
acuerdo,surgir,politic,3,0.07398203522467027
acuerdo,tribunal,politic,2,0.045920884776933006
acumulado,chatgpt,tech,1,0.0
acumulado,comportamiento,tech,2,0.010201416118541534
acumulado,diseno,tech,3,0.020402832237083064
acumular,manejar,politic,3,0.07398203522467027
acumular,pais,politic,1,0.017859734329195735
acumular,problema,politic,2,0.045920884776933006
acusaciones,camara,politic,3,0.07398203522467027
acusaciones,denuncia,politic,1,0.017859734329195735
acusaciones,representantes,politic,2,0.045920884776933006
acusar,congresista,politic,3,0.07398203522467027
adaptar,condicion,tech,3,0.020402832237083064
adaptar,luz,tech,1,0.0
adaptar,tiempo,tech,2,0.010201416118541534
adecuadamente,contrasena,tech,1,0.0
adecuadamente,eleccion,tech,3,0.020402832237083064
adecuadamente,sso,tech,2,0.010201416118541534
adecuado,diseno,tech,2,0.010201416118541534
adecuado,educacion,tech,1,0.0
adecuado,gestion,tech,3,0.020402832237083064
adecuado,riesgo,tech,2,0.010201416118541534
adecuado,seguridad,tech,3,0.020402832237083064
adelantar,afirmar,politic,1,0.017859734329195735
adelantar,esclarecer,politic,2,0.045920884776933006
adelantar,europea,tech,2,0.010201416118541534
adelantar,fiscalia,politic,1,0.017859734329195735
adelantar,investigacion,politic,3,0.07398203522467027
adelantar,necesario,politic,2,0.045920884776933006
adelantar,particularmente,tech,1,0.0
adelantar,regulacion,tech,3,0.020402832237083064
adelantar,replicar,tech,2,0.010201416118541534
